
======================================================================
[protenix-v2] folding prot.yaml (200 steps, 5 samples)
======================================================================
00:26:27  [tt-quietbox:tt1] loading model…
00:26:33  [tt-quietbox:tt1] prot
00:26:54  [tt-quietbox:tt1]   diffusion 130/200
00:26:54  [tt-quietbox:tt1]   diffusion 131/200
00:26:54  [tt-quietbox:tt1]   diffusion 132/200
00:26:54  [tt-quietbox:tt1]   diffusion 133/200
00:26:54  [tt-quietbox:tt1]   diffusion 134/200
00:26:54  [tt-quietbox:tt1]   diffusion 135/200
00:26:54  [tt-quietbox:tt1]   diffusion 136/200
00:26:54  [tt-quietbox:tt1]   diffusion 137/200
00:26:54  [tt-quietbox:tt1]   diffusion 138/200
00:26:55  [tt-quietbox:tt1]   diffusion 139/200
00:26:55  [tt-quietbox:tt1]   diffusion 140/200
00:26:55  [tt-quietbox:tt1]   diffusion 141/200
00:26:55  [tt-quietbox:tt1]   diffusion 142/200
00:26:55  [tt-quietbox:tt1]   diffusion 143/200
00:26:55  [tt-quietbox:tt1]   diffusion 144/200
00:26:55  [tt-quietbox:tt1]   diffusion 145/200
00:26:55  [tt-quietbox:tt1]   diffusion 146/200
00:26:55  [tt-quietbox:tt1]   diffusion 147/200
00:26:55  [tt-quietbox:tt1]   diffusion 148/200
00:26:55  [tt-quietbox:tt1]   diffusion 149/200
00:26:56  [tt-quietbox:tt1]   diffusion 150/200
00:26:56  [tt-quietbox:tt1]   diffusion 151/200
00:26:56  [tt-quietbox:tt1]   diffusion 152/200
00:26:56  [tt-quietbox:tt1]   diffusion 153/200
00:26:56  [tt-quietbox:tt1]   diffusion 154/200
00:26:56  [tt-quietbox:tt1]   diffusion 155/200
00:26:56  [tt-quietbox:tt1]   diffusion 156/200
00:26:56  [tt-quietbox:tt1]   diffusion 157/200
00:26:56  [tt-quietbox:tt1]   diffusion 158/200
00:26:56  [tt-quietbox:tt1]   diffusion 159/200
00:26:56  [tt-quietbox:tt1]   diffusion 160/200
00:26:57  [tt-quietbox:tt1]   diffusion 161/200
00:26:57  [tt-quietbox:tt1]   diffusion 162/200
00:26:57  [tt-quietbox:tt1]   diffusion 163/200
00:26:57  [tt-quietbox:tt1]   diffusion 164/200
00:26:57  [tt-quietbox:tt1]   diffusion 165/200
00:26:57  [tt-quietbox:tt1]   diffusion 166/200
00:26:57  [tt-quietbox:tt1]   diffusion 167/200
00:26:57  [tt-quietbox:tt1]   diffusion 168/200
00:26:57  [tt-quietbox:tt1]   diffusion 169/200
00:26:57  [tt-quietbox:tt1]   diffusion 170/200
00:26:57  [tt-quietbox:tt1]   diffusion 171/200
00:26:57  [tt-quietbox:tt1]   diffusion 172/200
00:26:57  [tt-quietbox:tt1]   diffusion 173/200
00:26:57  [tt-quietbox:tt1]   diffusion 174/200
00:26:58  [tt-quietbox:tt1]   diffusion 175/200
00:26:58  [tt-quietbox:tt1]   diffusion 176/200
00:26:58  [tt-quietbox:tt1]   diffusion 177/200
00:26:58  [tt-quietbox:tt1]   diffusion 178/200
00:26:58  [tt-quietbox:tt1]   diffusion 179/200
00:26:58  [tt-quietbox:tt1]   diffusion 180/200
00:26:58  [tt-quietbox:tt1]   diffusion 181/200
00:26:58  [tt-quietbox:tt1]   diffusion 182/200
00:26:58  [tt-quietbox:tt1]   diffusion 183/200
00:26:58  [tt-quietbox:tt1]   diffusion 184/200
00:26:58  [tt-quietbox:tt1]   diffusion 185/200
00:26:58  [tt-quietbox:tt1]   diffusion 186/200
00:26:58  [tt-quietbox:tt1]   diffusion 187/200
00:26:58  [tt-quietbox:tt1]   diffusion 188/200
00:26:59  [tt-quietbox:tt1]   diffusion 189/200
00:26:59  [tt-quietbox:tt1]   diffusion 190/200
00:26:59  [tt-quietbox:tt1]   diffusion 191/200
00:26:59  [tt-quietbox:tt1]   diffusion 192/200
00:26:59  [tt-quietbox:tt1]   diffusion 193/200
00:26:59  [tt-quietbox:tt1]   diffusion 194/200
00:26:59  [tt-quietbox:tt1]   diffusion 195/200
00:26:59  [tt-quietbox:tt1]   diffusion 196/200
00:26:59  [tt-quietbox:tt1]   diffusion 197/200
00:26:59  [tt-quietbox:tt1]   diffusion 198/200
00:26:59  [tt-quietbox:tt1]   diffusion 199/200
00:27:00  [tt-quietbox:tt1]   saving
00:27:00  [tt-quietbox:tt1] ✓ prot — 27.5s

Done: 1 ok, 0 failed — /home/ttuser/.coworker/wt/perfwar-w6-c2fix-land/protenix_results_prot/results.json
Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 0
RMSD: 1.3828 Å   TM-score: 0.9527
==================================================

Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 1
RMSD: 1.3962 Å   TM-score: 0.9502
==================================================

Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 2
RMSD: 1.3660 Å   TM-score: 0.9530
==================================================

Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 3
RMSD: 1.3936 Å   TM-score: 0.9514
==================================================

Predicted chains: [('A', 117)]
Ground truth chains: [('A', 117)]

Best chain matching (117 common residues of 117 predicted / 117 ground truth):
  A -> A (117 common residues)

==================================================
Protein: prot, Model: 4
RMSD: 1.2723 Å   TM-score: 0.9595
==================================================

############################################################
GROUND-TRUTH ACCURACY — prot (5 samples)
  model 0: RMSD  1.383 Å   TM 0.953 <- best confidence (gated)
  model 1: RMSD  1.396 Å   TM 0.950
  model 2: RMSD  1.366 Å   TM 0.953
  model 3: RMSD  1.394 Å   TM 0.951
  model 4: RMSD  1.272 Å   TM 0.959
  oracle-best sample: model 4 RMSD 1.272 Å TM 0.959
############################################################


##############################################################################
RELEASE GATE — prot.yaml (prot), 200 steps / 5 samples, seed 0
##############################################################################
model            RMSD (A)      TM           floor     wall  result
protenix-v2         1.383   0.953     <=6.0/>=0.5      41s  PASS
##############################################################################
GATE PASS — all models cleared parse + ground-truth floor
