target,gen,side,native,recorded,best,rec_pairs,best_pairs,n_native_res,n_rec,note
9l8z,boltz2,2,C,H,H,125,125,125,1,
9l9o,boltz2,1,C,L,L,212,212,212,1,
9l9o,boltz2,2,A,A,A,396,396,396,1,
9l9y,boltz2,1,B,L,L,210,210,210,1,
9l9y,boltz2,2,D,A,A,147,147,147,1,
9lbw,boltz2,1,A,A,A,141,141,141,1,
9lbw,boltz2,2,L,L,L,109,109,109,1,
9ldx,boltz2,1,A,A,A,233,233,233,1,
9ldx,boltz2,2,S,H,H,232,232,232,1,
9le0,boltz2,1,A,A,A,233,233,233,1,
9le0,boltz2,2,S,H,H,232,232,232,1,
9lh2,boltz2,1,A,A,A,196,196,196,1,
9lh2,boltz2,2,B,H,H,132,132,132,1,
9lme,boltz2,1,A,A,A,219,219,219,1,
9lme,boltz2,2,F,H,H,117,117,117,1,
9loe,boltz2,1,A,A,A,318,318,318,1,
9loe,boltz2,2,B,H,H,230,230,230,1,
9lof,boltz2,1,A,A,A,318,318,318,1,
9lof,boltz2,2,B,H,H,226,226,226,1,
9log,boltz2,1,A,A,A,318,318,318,1,
9log,boltz2,2,B,H,H,224,224,224,1,
9loz,boltz2,1,A,A,A,194,194,194,1,
9loz,boltz2,2,B,H,H,117,117,117,1,
9lp1,boltz2,1,A,H,H,117,117,117,1,
9lp1,boltz2,2,C,A,A,194,194,194,1,
9lqw,boltz2,1,A,A,A,271,271,271,1,
9lqw,boltz2,2,C,H,H,129,129,129,1,
9lr1,boltz2,1,C,H,H,129,129,129,1,
9lr1,boltz2,2,R,A,A,297,297,297,1,
9lsy,boltz2,1,D,A,A,202,202,202,1,
9lsy,boltz2,2,E,H,H,117,117,117,1,
9lsz,boltz2,1,A,A,A,583,583,583,1,
9lsz,boltz2,2,H,H,H,120,120,120,1,
9lwc,boltz2,1,A,A,A,194,194,194,1,
9lwc,boltz2,2,N,H,H,91,91,91,1,
9lxp,boltz2,1,B,A,A,346,346,346,1,
9lxp,boltz2,2,E,L,L,207,207,207,1,
9ly5,boltz2,1,A,H,H,218,218,218,1,
9ly5,boltz2,2,C,A,A,181,181,181,1,
9ly6,boltz2,1,A,A,A,405,405,405,1,
9ly6,boltz2,2,B,H,H,213,213,213,1,
9lz0,boltz2,1,A,A,A,349,349,349,1,
9lz0,boltz2,2,H,H,H,118,118,118,1,
9lz1,boltz2,1,H,H,H,118,118,118,1,
9lz1,boltz2,2,A,A,A,349,349,349,1,
9m0j,boltz2,1,A,A,A,232,232,232,1,
9m0j,boltz2,2,N,H,H,128,128,128,1,
9m0x,boltz2,1,N,H,H,127,127,127,1,
9m0x,boltz2,2,A,A,A,233,233,233,1,
9m0z,boltz2,1,N,H,H,127,127,127,1,
9m0z,boltz2,2,A,A,A,235,235,235,1,
9m1p,boltz2,1,N,H,H,127,127,127,1,
9m1p,boltz2,2,A,A,A,235,235,235,1,
9m2o,boltz2,1,N,H,H,127,127,127,1,
9m2o,boltz2,2,A,A,A,232,232,232,1,
9m2s,boltz2,1,N,H,H,127,127,127,1,
9m2s,boltz2,2,A,A,A,235,235,235,1,
9m3q,boltz2,1,N,H,H,127,127,127,1,
9m3q,boltz2,2,A,A,A,235,235,235,1,
9m3s,boltz2,1,N,H,H,127,127,127,1,
9m3s,boltz2,2,A,A,A,234,234,234,1,
9m40,boltz2,1,A,A,A,237,237,237,1,
9m40,boltz2,2,N,H,H,128,128,128,1,
9m72,boltz2,1,C,A,A,149,149,149,1,
9m72,boltz2,2,A,H,H,120,120,120,1,
9m8k,boltz2,1,A,A,A,238,238,238,1,
9m8k,boltz2,2,N,H,H,232,232,232,1,
9m8l,boltz2,1,N,H,H,232,232,232,1,
9m8l,boltz2,2,B,A,A,339,339,339,1,
9ma0,boltz2,1,A,A,A,414,414,414,1,
9ma0,boltz2,2,B,H,H,124,124,124,1,
9mmj,boltz2,1,A,L,L,213,213,213,1,
9mmj,boltz2,2,D,A,A,19,19,19,1,
9mnb,boltz2,1,L,L,L,215,215,215,1,
9mnb,boltz2,2,A,A,A,219,219,219,1,
9mns,boltz2,1,L,L,L,211,211,211,1,
9mns,boltz2,2,E,A,A,160,160,160,1,
9mnt,boltz2,1,L,L,L,212,212,212,1,
9mnt,boltz2,2,E,A,A,169,169,169,1,
9mnu,boltz2,1,E,A,A,140,140,140,1,
9mnu,boltz2,2,H,H,H,226,226,227,1,
9msc,boltz2,1,L,L,L,208,208,208,1,
9msc,boltz2,2,E,A,A,230,230,230,1,
9mxu,boltz2,1,A,A,A,233,233,233,1,
9mxu,boltz2,2,N,H,H,126,126,126,1,
9mz6,boltz2,1,A,L,L,213,213,213,1,
9mz6,boltz2,2,D,A,A,19,19,19,1,
9mz7,boltz2,1,A,L,L,214,214,214,1,
9mz7,boltz2,2,D,A,A,15,15,15,1,
9mz8,boltz2,1,A,L,L,213,213,213,1,
9mz8,boltz2,2,D,A,A,15,15,16,1,
9mze,boltz2,1,A,A,A,228,228,228,1,
9mze,boltz2,2,N,H,H,128,128,128,1,
9mzf,boltz2,1,N,H,H,126,126,126,1,
9mzf,boltz2,2,A,A,A,232,232,232,1,
9n05,boltz2,1,A,A,A,227,227,227,1,
9n05,boltz2,2,N,H,H,128,128,128,1,
9n09,boltz2,1,A,A,A,227,227,227,1,
9n09,boltz2,2,N,H,H,128,128,128,1,
9n0e,boltz2,1,N,H,H,128,128,128,1,
9n0e,boltz2,2,A,A,A,228,228,228,1,
9n1p,boltz2,1,A,A,A,227,227,227,1,
9n1p,boltz2,2,N,H,H,128,128,128,1,
9n1q,boltz2,1,A,A,A,229,229,229,1,
9n1q,boltz2,2,N,H,H,128,128,128,1,
9n2i,boltz2,1,A,A,A,230,230,230,1,
9n2i,boltz2,2,N,H,H,128,128,128,1,
9n38,boltz2,1,A,A,A,245,245,245,1,
9n38,boltz2,2,H,H,H,119,119,119,1,
9n8i,boltz2,1,A,H,H,227,227,227,1,
9n8i,boltz2,2,E,A,A,181,181,181,1,
9n8n,boltz2,1,A,H,H,217,217,217,1,
9n8n,boltz2,2,I,A,A,308,308,308,1,
9ncd,boltz2,1,L,L,L,214,214,214,1,
9ncd,boltz2,2,A,A,A,91,91,91,1,
9ncy,boltz2,1,H,H,H,228,228,228,1,
9ncy,boltz2,2,A,A,A,65,65,65,1,
9nkz,boltz2,1,H,H,H,230,230,230,1,
9nkz,boltz2,2,A,A,A,15,15,15,1,
9nl0,boltz2,1,A,A,A,12,12,12,1,
9nl0,boltz2,2,L,L,L,215,215,215,1,
9nl1,boltz2,1,H,H,H,228,228,228,1,
9nl1,boltz2,2,A,A,A,13,13,13,1,
9np0,boltz2,1,A,A,A,304,304,304,1,
9np0,boltz2,2,B,H,H,124,124,124,1,
9nw4,boltz2,1,A,H,H,212,212,212,1,
9nw4,boltz2,2,C,A,A,9,9,9,1,
9nw7,boltz2,1,A,A,A,269,269,269,1,
9nw7,boltz2,2,H,H,H,223,223,223,1,
9nw8,boltz2,1,A,A,A,269,269,269,1,
9nw8,boltz2,2,H,H,H,223,223,223,1,
9nw9,boltz2,1,A,A,A,269,269,269,1,
9nw9,boltz2,2,H,H,H,223,223,223,1,
9nzf,boltz2,1,H,H,H,228,228,228,1,
9nzf,boltz2,2,A,A,A,15,15,15,1,
9obn,boltz2,1,A,A,A,141,141,141,1,
9obn,boltz2,2,G,H,H,128,128,128,1,
9ppw,boltz2,1,B,A,A,200,200,200,1,
9ppw,boltz2,2,E,H,H,232,232,232,1,
9ppy,boltz2,1,B,A,A,199,199,199,1,
9ppy,boltz2,2,E,H,H,232,232,232,1,
9pso,boltz2,1,E,A,A,191,191,191,1,
9pso,boltz2,2,H,H,H,219,219,219,1,
9q1l,boltz2,1,E,L,L,214,214,214,1,
9q1l,boltz2,2,F,A,A,39,39,39,1,
9q6h,boltz2,1,A,A,A,585,585,585,1,
9q6h,boltz2,2,B,H,H,131,131,131,1,
9q6n,boltz2,1,A,A,A,584,584,584,1,
9q6n,boltz2,2,B,H,H,129,129,129,1,
9q6y,boltz2,1,A,A,A,585,585,585,1,
9q6y,boltz2,2,B,H,H,131,131,131,1,
9q6z,boltz2,1,A,A,A,585,585,585,1,
9q6z,boltz2,2,B,H,H,131,131,131,1,
9q7y,boltz2,1,C,L,L,106,106,106,1,
9q7y,boltz2,2,B,A,A,629,629,629,1,
9qqe,boltz2,1,A,A,A,268,268,268,1,
9qqe,boltz2,2,H,H,H,209,209,209,1,
9qqf,boltz2,1,H,H,H,190,190,190,1,
9qqf,boltz2,2,A,A,A,275,275,275,1,
9qrv,boltz2,1,D,A,A,91,91,91,1,
9qrv,boltz2,2,H,H,H,224,224,224,1,
9rig,boltz2,1,A,A,A,295,295,295,1,
9rig,boltz2,2,H,H,H,134,134,134,1,
9rih,boltz2,1,A,A,A,289,289,289,1,
9rih,boltz2,2,H,H,H,134,134,134,1,
9rn6,boltz2,1,A,A,A,210,210,210,1,
9rn6,boltz2,2,C,H,H,123,123,123,1,
9rye,boltz2,1,B,A,A,571,571,571,1,
9rye,boltz2,2,C,H,H,121,121,121,1,
9ryf,boltz2,1,B,A,A,571,571,571,1,
9ryf,boltz2,2,C,H,H,121,121,121,1,
9sat,boltz2,1,H,H,H,219,219,219,1,
9sat,boltz2,2,R,A,A,195,195,195,1,
9sbb,boltz2,1,H,H,H,217,217,217,1,
9sbb,boltz2,2,R,A,A,194,194,194,1,
9ssm,boltz2,1,H,H,H,221,221,221,1,
9ssm,boltz2,2,R,A,A,191,191,191,1,
9t3r,boltz2,1,L,L,L,108,108,108,1,
9t3r,boltz2,2,A,A,A,437,437,437,1,
9t3s,boltz2,1,H,H,H,118,118,118,1,
9t3s,boltz2,2,A,A,A,437,437,437,1,
9th6,boltz2,1,A,A,A,448,448,448,1,
9th6,boltz2,2,B,H,H,125,125,125,1,
9tmp,boltz2,1,A,A,A,103,103,103,1,
9tmp,boltz2,2,H,H,H,226,226,226,1,
9u5p,boltz2,1,A,A,A,180,180,180,1,
9u5p,boltz2,2,B,H,H,127,127,127,1,
9u5q,boltz2,1,A,A,A,179,179,179,1,
9u5q,boltz2,2,B,H,H,127,127,127,1,
9u5r,boltz2,1,O,A,A,180,180,180,1,
9u5r,boltz2,2,P,H,H,127,127,127,1,
9ua5,boltz2,1,C,A,A,326,326,326,1,
9ua5,boltz2,2,G,H,H,119,119,119,1,
9udq,boltz2,1,B,H,H,82,82,82,1,
9udq,boltz2,2,I,A,A,221,221,221,1,
9ue0,boltz2,1,A,H,H,223,223,223,1,
9ue0,boltz2,2,C,A,A,84,84,84,1,
9ugo,boltz2,1,A,L,L,215,215,215,1,
9ugo,boltz2,2,C,A,A,98,98,98,1,
9uk2,boltz2,1,B,A,A,229,229,229,1,
9uk2,boltz2,2,E,H,H,232,232,232,1,
9ull,boltz2,1,A,H,H,216,216,216,1,
9ull,boltz2,2,K,A,A,10,10,10,1,
9ulm,boltz2,1,A,H,H,214,214,214,1,
9ulm,boltz2,2,Y,A,A,11,11,11,1,
9ulp,boltz2,1,A,A,A,275,275,275,1,
9ulp,boltz2,2,C,H,H,119,119,119,1,
9uo0,boltz2,1,M,A,A,208,208,208,1,
9uo0,boltz2,2,3,H,H,123,123,123,1,
9uoc,boltz2,1,B,A,A,206,206,206,1,
9uoc,boltz2,2,A,H,H,123,123,123,1,
9uoi,boltz2,1,C,H,H,115,115,115,1,
9uoi,boltz2,2,B,A,A,207,207,207,1,
9v0x,boltz2,1,A,A,A,229,229,229,1,
9v0x,boltz2,2,E,H,H,232,232,232,1,
9v1h,boltz2,1,A,A,A,208,208,208,1,
9v1h,boltz2,2,E,H,H,228,228,228,1,
9ve0,boltz2,1,H,H,H,217,217,217,1,
9ve0,boltz2,2,A,A,A,313,313,313,1,
9vmn,boltz2,1,A,A,A,234,234,234,1,
9vmn,boltz2,2,S,H,H,230,230,230,1,
9vmo,boltz2,1,A,A,A,234,234,234,1,
9vmo,boltz2,2,S,H,H,230,230,230,1,
9vnp,boltz2,1,L,A,A,96,96,96,1,
9vnp,boltz2,2,A,L,L,216,216,216,1,
9vo2,boltz2,1,A,A,A,234,234,234,1,
9vo2,boltz2,2,S,H,H,230,230,230,1,
9w14,boltz2,1,G,A,A,186,186,186,1,
9w14,boltz2,2,C,H,H,119,119,119,1,
9wb3,boltz2,1,A,A,A,179,179,179,1,
9wb3,boltz2,2,B,H,H,127,127,127,1,
9wb4,boltz2,1,A,A,A,179,179,179,1,
9wb4,boltz2,2,B,H,H,127,127,127,1,
9wpm,boltz2,1,N,H,H,126,126,126,1,
9wpm,boltz2,2,B,A,A,328,328,328,1,
9wwh,boltz2,1,H,H,H,223,223,223,1,
9wwh,boltz2,2,D,A,A,130,130,130,1,
9x05,boltz2,1,A,A,A,146,146,146,1,
9x05,boltz2,2,D,H,H,220,220,220,1,
9x0j,boltz2,1,A,A,A,150,150,150,1,
9x0j,boltz2,2,F,H,H,219,219,219,1,
9x3z,boltz2,1,A,A,A,208,208,208,1,
9x3z,boltz2,2,S,H,H,228,228,228,1,
9xqb,boltz2,1,B,L,L,107,107,107,1,
9xqb,boltz2,2,C,A,A,222,222,222,1,
9xqc,boltz2,1,A,A,A,233,233,233,1,
9xqc,boltz2,2,E,H,H,231,231,231,1,
9xqn,boltz2,1,A,A,A,365,365,365,1,
9xqn,boltz2,2,C,H,H,121,121,121,1,
9xsx,boltz2,1,A,A,A,234,234,234,1,
9xsx,boltz2,2,B,H,H,226,226,226,1,
9xth,boltz2,1,B,H,H,220,220,220,1,
9xth,boltz2,2,A,A,A,233,233,233,1,
9y0a,boltz2,1,C,A,A,159,159,159,1,
9y0a,boltz2,2,A,H,H,225,225,225,1,
9y0e,boltz2,1,C,A,A,159,159,159,1,
9y0e,boltz2,2,A,H,H,222,222,222,1,
9yc5,boltz2,1,A,A,A,180,180,180,1,
9yc5,boltz2,2,H,H,H,214,214,214,1,
9yio,boltz2,1,B,A,A,83,83,83,1,
9yio,boltz2,2,D,H,H,222,222,222,1,
9ynx,boltz2,1,A,A,A,189,189,189,1,
9ynx,boltz2,2,F,H,H,229,229,229,1,
9yxd,boltz2,1,A,A,A,87,87,87,1,
9yxd,boltz2,2,D,H,H,216,216,216,1,
9zdu,boltz2,1,A,A,A,197,197,197,1,
9zdu,boltz2,2,H,H,H,230,230,230,1,
9zen,boltz2,1,C,A,A,111,111,111,1,
9zen,boltz2,2,L,H,H,119,119,119,1,
21av,opendde-abag,1,C,B,B,125,125,125,1,
21av,opendde-abag,2,H,A,A,321,321,321,1,
21du,opendde-abag,1,A,A,A,241,241,241,1,
21du,opendde-abag,2,N,B,B,126,126,126,1,
21tw,opendde-abag,1,A,B,B,224,224,224,1,
21tw,opendde-abag,2,B,A,A,139,139,139,1,
22ps,opendde-abag,1,D,B,B,119,119,119,1,
22ps,opendde-abag,2,F,A,A,164,164,164,1,
9ck4,opendde-abag,1,W,A,A,80,80,80,1,
9ck4,opendde-abag,2,A,B,B,119,119,119,1,
9d3j,opendde-abag,1,C,A,A,56,56,56,1,
9d3j,opendde-abag,2,A,B,B,180,180,180,1,
9d72,opendde-abag,1,L,C,C,213,213,213,1,
9d72,opendde-abag,2,A,A,A,266,266,266,1,
9d73,opendde-abag,1,A,A,A,273,273,273,1,
9d73,opendde-abag,2,H,B,B,214,214,214,1,
9d74,opendde-abag,1,A,A,A,273,273,273,1,
9d74,opendde-abag,2,L,C,C,211,211,211,1,
9dsg,opendde-abag,1,A,A,A,196,196,196,1,
9dsg,opendde-abag,2,H,B,B,248,248,248,1,
9fte,opendde-abag,1,A,A,A,255,255,255,1,
9fte,opendde-abag,2,B,B,B,107,107,107,1,
9gei,opendde-abag,1,A,A,A,174,174,174,1,
9gei,opendde-abag,2,B,B,B,226,226,226,1,
9gfr,opendde-abag,1,L,C,C,213,213,213,1,
9gfr,opendde-abag,2,E,A,A,85,85,85,1,
9gvn,opendde-abag,1,A,A,A,111,111,111,1,
9gvn,opendde-abag,2,D,C,C,219,219,219,1,
9hv9,opendde-abag,1,H,B,B,223,223,223,1,
9hv9,opendde-abag,2,A,C,A,6,7,7,1,
9i3p,opendde-abag,1,B,A,A,528,528,528,1,
9i3p,opendde-abag,2,C,B,B,452,452,452,1,
9i5n,opendde-abag,1,B,B,B,118,118,118,1,
9i5n,opendde-abag,2,C,A,A,143,143,143,1,
9iar,opendde-abag,1,B,A,A,558,558,558,1,
9iar,opendde-abag,2,D,B,B,114,114,114,1,
9ivj,opendde-abag,1,A,A,A,655,655,655,1,
9ivj,opendde-abag,2,H,B,B,126,126,126,1,
9j4c,opendde-abag,1,A,A,A,655,655,655,1,
9j4c,opendde-abag,2,H,B,B,227,227,227,1,
9j87,opendde-abag,1,B,A,A,210,210,210,1,
9j87,opendde-abag,2,E,B,B,230,230,230,1,
9jkr,opendde-abag,1,A,B,B,114,114,114,1,
9jkr,opendde-abag,2,I,A,A,110,110,110,1,
9jno,opendde-abag,1,A,A,A,233,233,233,1,
9jno,opendde-abag,2,D,B,B,220,220,220,1,
9k6j,opendde-abag,1,C,A,A,181,181,181,1,
9k6j,opendde-abag,2,A,B,B,213,213,213,1,
9kwy,opendde-abag,1,A,A,A,570,570,570,1,
9kwy,opendde-abag,2,C,B,B,119,119,119,1,
9l1l,opendde-abag,1,A,A,A,179,179,179,1,
9l1l,opendde-abag,2,C,B,B,218,218,218,1,
9l8z,opendde-abag,1,A,A,A,233,233,233,1,
9l8z,opendde-abag,2,C,B,B,125,125,125,1,
9l9o,opendde-abag,1,C,C,C,212,212,212,1,
9l9o,opendde-abag,2,A,A,A,396,396,396,1,
9l9y,opendde-abag,1,B,C,C,210,210,210,1,
9l9y,opendde-abag,2,D,A,A,147,147,147,1,
9lbw,opendde-abag,1,A,A,A,141,141,141,1,
9lbw,opendde-abag,2,L,C,C,109,109,109,1,
9ldx,opendde-abag,1,A,A,A,233,233,233,1,
9ldx,opendde-abag,2,S,B,B,232,232,232,1,
9le0,opendde-abag,1,A,A,A,233,233,233,1,
9le0,opendde-abag,2,S,B,B,232,232,232,1,
9lh2,opendde-abag,1,A,A,A,196,196,196,1,
9lh2,opendde-abag,2,B,B,B,132,132,132,1,
9lme,opendde-abag,1,A,A,A,219,219,219,1,
9lme,opendde-abag,2,F,B,B,117,117,117,1,
9loe,opendde-abag,1,A,A,A,318,318,318,1,
9loe,opendde-abag,2,B,B,B,230,230,230,1,
9lof,opendde-abag,1,A,A,A,318,318,318,1,
9lof,opendde-abag,2,B,B,B,226,226,226,1,
9log,opendde-abag,1,A,A,A,318,318,318,1,
9log,opendde-abag,2,B,B,B,224,224,224,1,
9loz,opendde-abag,1,A,A,A,194,194,194,1,
9loz,opendde-abag,2,B,B,B,117,117,117,1,
9lp1,opendde-abag,1,A,B,B,117,117,117,1,
9lp1,opendde-abag,2,C,A,A,194,194,194,1,
9lqw,opendde-abag,1,A,A,A,271,271,271,1,
9lqw,opendde-abag,2,C,B,B,129,129,129,1,
9lr1,opendde-abag,1,C,B,B,129,129,129,1,
9lr1,opendde-abag,2,R,A,A,297,297,297,1,
9lsy,opendde-abag,1,D,A,A,202,202,202,1,
9lsy,opendde-abag,2,E,B,B,117,117,117,1,
9lsz,opendde-abag,1,A,A,A,583,583,583,1,
9lsz,opendde-abag,2,H,B,B,120,120,120,1,
9lwc,opendde-abag,1,A,A,A,194,194,194,1,
9lwc,opendde-abag,2,N,B,B,91,91,91,1,
9lxp,opendde-abag,1,B,A,A,346,346,346,1,
9lxp,opendde-abag,2,E,C,C,207,207,207,1,
9ly5,opendde-abag,1,A,B,B,218,218,218,1,
9ly5,opendde-abag,2,C,A,A,181,181,181,1,
9ly6,opendde-abag,1,A,A,A,405,405,405,1,
9ly6,opendde-abag,2,B,B,B,213,213,213,1,
9lz0,opendde-abag,1,A,A,A,349,349,349,1,
9lz0,opendde-abag,2,H,B,B,118,118,118,1,
9lz1,opendde-abag,1,H,B,B,118,118,118,1,
9lz1,opendde-abag,2,A,A,A,349,349,349,1,
9m0j,opendde-abag,1,A,A,A,232,232,232,1,
9m0j,opendde-abag,2,N,B,B,128,128,128,1,
9m0x,opendde-abag,1,N,B,B,127,127,127,1,
9m0x,opendde-abag,2,A,A,A,233,233,233,1,
9m0z,opendde-abag,1,N,B,B,127,127,127,1,
9m0z,opendde-abag,2,A,A,A,235,235,235,1,
9m1p,opendde-abag,1,N,B,B,127,127,127,1,
9m1p,opendde-abag,2,A,A,A,235,235,235,1,
9m2o,opendde-abag,1,N,B,B,127,127,127,1,
9m2o,opendde-abag,2,A,A,A,232,232,232,1,
9m2s,opendde-abag,1,N,B,B,127,127,127,1,
9m2s,opendde-abag,2,A,A,A,235,235,235,1,
9m3q,opendde-abag,1,N,B,B,127,127,127,1,
9m3q,opendde-abag,2,A,A,A,235,235,235,1,
9m3s,opendde-abag,1,N,B,B,127,127,127,1,
9m3s,opendde-abag,2,A,A,A,234,234,234,1,
9m40,opendde-abag,1,A,A,A,237,237,237,1,
9m40,opendde-abag,2,N,B,B,128,128,128,1,
9m72,opendde-abag,1,C,A,A,149,149,149,1,
9m72,opendde-abag,2,A,B,B,120,120,120,1,
9m8k,opendde-abag,1,A,A,A,238,238,238,1,
9m8k,opendde-abag,2,N,B,B,232,232,232,1,
9m8l,opendde-abag,1,N,B,B,232,232,232,1,
9m8l,opendde-abag,2,B,A,A,339,339,339,1,
9ma0,opendde-abag,1,A,A,A,414,414,414,1,
9ma0,opendde-abag,2,B,B,B,124,124,124,1,
9mmj,opendde-abag,1,A,C,C,213,213,213,1,
9mmj,opendde-abag,2,D,A,A,19,19,19,1,
9mnb,opendde-abag,1,L,C,C,215,215,215,1,
9mnb,opendde-abag,2,A,A,A,219,219,219,1,
9mns,opendde-abag,1,L,C,C,211,211,211,1,
9mns,opendde-abag,2,E,A,A,160,160,160,1,
9mnt,opendde-abag,1,L,C,C,212,212,212,1,
9mnt,opendde-abag,2,E,A,A,169,169,169,1,
9mnu,opendde-abag,1,E,A,A,140,140,140,1,
9mnu,opendde-abag,2,H,B,B,226,226,227,1,
9msc,opendde-abag,1,L,C,C,208,208,208,1,
9msc,opendde-abag,2,E,A,A,230,230,230,1,
9mxu,opendde-abag,1,A,A,A,233,233,233,1,
9mxu,opendde-abag,2,N,B,B,126,126,126,1,
9mz6,opendde-abag,1,A,C,C,213,213,213,1,
9mz6,opendde-abag,2,D,A,A,19,19,19,1,
9mz7,opendde-abag,1,A,C,C,214,214,214,1,
9mz7,opendde-abag,2,D,A,A,15,15,15,1,
9mz8,opendde-abag,1,A,C,C,213,213,213,1,
9mz8,opendde-abag,2,D,A,A,15,15,16,1,
9mze,opendde-abag,1,A,A,A,228,228,228,1,
9mze,opendde-abag,2,N,B,B,128,128,128,1,
9mzf,opendde-abag,1,N,B,B,126,126,126,1,
9mzf,opendde-abag,2,A,A,A,232,232,232,1,
9n05,opendde-abag,1,A,A,A,227,227,227,1,
9n05,opendde-abag,2,N,B,B,128,128,128,1,
9n09,opendde-abag,1,A,A,A,227,227,227,1,
9n09,opendde-abag,2,N,B,B,128,128,128,1,
9n0e,opendde-abag,1,N,B,B,128,128,128,1,
9n0e,opendde-abag,2,A,A,A,228,228,228,1,
9n1p,opendde-abag,1,A,A,A,227,227,227,1,
9n1p,opendde-abag,2,N,B,B,128,128,128,1,
9n1q,opendde-abag,1,A,A,A,229,229,229,1,
9n1q,opendde-abag,2,N,B,B,128,128,128,1,
9n2i,opendde-abag,1,A,A,A,230,230,230,1,
9n2i,opendde-abag,2,N,B,B,128,128,128,1,
9n38,opendde-abag,1,A,A,A,245,245,245,1,
9n38,opendde-abag,2,H,B,B,119,119,119,1,
9n8i,opendde-abag,1,A,B,B,227,227,227,1,
9n8i,opendde-abag,2,E,A,A,181,181,181,1,
9n8n,opendde-abag,1,A,B,B,217,217,217,1,
9n8n,opendde-abag,2,I,A,A,308,308,308,1,
9ncd,opendde-abag,1,L,C,C,214,214,214,1,
9ncd,opendde-abag,2,A,A,A,91,91,91,1,
9ncy,opendde-abag,1,H,B,B,228,228,228,1,
9ncy,opendde-abag,2,A,A,A,65,65,65,1,
9nkz,opendde-abag,1,H,B,B,230,230,230,1,
9nkz,opendde-abag,2,A,A,A,15,15,15,1,
9nl0,opendde-abag,1,A,A,A,12,12,12,1,
9nl0,opendde-abag,2,L,C,C,215,215,215,1,
9nl1,opendde-abag,1,H,B,B,228,228,228,1,
9nl1,opendde-abag,2,A,A,A,13,13,13,1,
9np0,opendde-abag,1,A,A,A,304,304,304,1,
9np0,opendde-abag,2,B,B,B,124,124,124,1,
9nw4,opendde-abag,1,A,B,B,212,212,212,1,
9nw4,opendde-abag,2,C,A,A,9,9,9,1,
9nw7,opendde-abag,1,A,A,A,269,269,269,1,
9nw7,opendde-abag,2,H,B,B,223,223,223,1,
9nw8,opendde-abag,1,A,A,A,269,269,269,1,
9nw8,opendde-abag,2,H,B,B,223,223,223,1,
9nw9,opendde-abag,1,A,A,A,269,269,269,1,
