pdb_id,rcsb_entry,antigen_entity_id,antigen_match_score,antigen_is_fold_entity_2,antigen_auth_chains,uniprot_ids,uniprot_null,entity_poly_type,antigen_seq_len,primary_accession,accession_multiplicity,dup_group_id,antigen_seq_cluster,keeps_in_dedup,keeps_in_seqdedup,antibody_dup_flag,has_peptide_antigen,release_date,superseded_by,cdrh3_cluster
9i3p,9I3P,2,0.930635838150289,False,B,Q8N1K5,False,polypeptide(L),563,Q8N1K5,1,,-,True,True,False,False,2026-04-29T00:00:00Z,,9i3p_h0
9i5n,9I5N,3,1.0,True,C,P29965,False,polypeptide(L),143,P29965,1,,-,True,True,False,False,2026-02-25T00:00:00Z,,9i5n_h0
9iar,9IAR,1,1.0,False,A;B,Q86WA9,False,polypeptide(L),583,Q86WA9,1,,-,True,True,False,False,2026-03-04T00:00:00Z,,9iar_h0
9ivj,9IVJ,1,1.0,False,A,Q3KSQ3,False,polypeptide(L),659,Q3KSQ3,1,,-,True,True,False,False,2026-01-28T00:00:00Z,,9ivj_h0
9j4c,9J4C,1,1.0,False,A,Q9UIW2,False,polypeptide(L),690,Q9UIW2,1,,-,True,True,False,False,2026-01-21T00:00:00Z,,9j4c_h0
9j87,9J87,2,0.7960199004975125,False,B,,True,polypeptide(L),246,,1,,C01,True,False,False,False,2026-02-25T00:00:00Z,,9j87_h0
9jkr,9JKR,5,1.0,True,I,P04141,False,polypeptide(L),149,P04141,1,,-,True,True,False,False,2026-03-25T00:00:00Z,,9jkr_h0
9jno,9JNO,1,0.9642857142857143,False,A,A0A2Z5DTY1,False,polypeptide(L),242,A0A2Z5DTY1,1,,C16,True,True,False,False,2026-02-18T00:00:00Z,,9jno_h0
9k6j,9K6J,1,1.0,False,C,P0DTC2,False,polypeptide(L),271,P0DTC2,12,G09:P0DTC2,C00,True,True,False,False,2026-01-07T00:00:00Z,,9k6j_h0
9kwy,9KWY,1,0.9679144385026738,False,A,Q56H28,False,polypeptide(L),581,Q56H28,1,,-,True,True,False,False,2026-03-18T00:00:00Z,,9kwy_h0
9l1l,9L1L,1,1.0,False,A,P01910,False,polypeptide(L),179,P01910,1,,-,True,True,False,True,2026-02-18T00:00:00Z,,9l1l_h0
9l8z,9L8Z,1,1.0,False,A;D,A0A8F6YIY6,False,polypeptide(L),241,A0A8F6YIY6,1,,-,True,True,False,False,2026-02-18T00:00:00Z,,9l8z_h0
9l9o,9L9O,4,1.0,True,A,Q13585,False,polypeptide(L),533,Q13585,1,,C15,True,False,False,False,2026-02-18T00:00:00Z,,9l9o_h0
9l9y,9L9Y,3,1.0,True,C;D,D3VV84,False,polypeptide(L),148,D3VV84,1,,-,True,True,False,False,2026-01-14T00:00:00Z,,9l9y_h0
9lbw,9LBW,1,1.0,False,A;B,A0A7D7J7F9,False,polypeptide(L),183,A0A7D7J7F9,1,,-,True,True,False,False,2026-01-07T00:00:00Z,,9lbw_h0
9ldx,9LDX,1,0.9642857142857143,False,A,P38405,False,polypeptide(L),246,P38405,2,G15:P38405,C27,True,True,True,False,2026-01-28T00:00:00Z,,9j87_h0
9le0,9LE0,1,0.9642857142857143,False,A,P38405,False,polypeptide(L),246,P38405,2,G15:P38405,C27,False,False,True,False,2026-01-28T00:00:00Z,,9j87_h0
9lh2,9LH2,1,1.0,False,A;C,P0DTC2,False,polypeptide(L),218,P0DTC2,12,G09:P0DTC2,C00,False,False,False,False,2026-01-14T00:00:00Z,,9lh2_h0
9lme,9LME,1,1.0,False,A;B,Q5ZPR3,False,polypeptide(L),225,Q5ZPR3,3,G20:Q5ZPR3,C14,True,True,False,False,2026-01-21T00:00:00Z,,9lme_h0
9loe,9LOE,1,1.0,False,A,A0A1S6XXK1,False,polypeptide(L),321,A0A1S6XXK1,3,G01:A0A1S6XXK1,C06,True,False,False,False,2026-01-28T00:00:00Z,,9loe_h0
9lof,9LOF,1,1.0,False,A,A0A1S6XXK1,False,polypeptide(L),321,A0A1S6XXK1,3,G01:A0A1S6XXK1,C06,False,False,False,False,2026-01-28T00:00:00Z,,9lof_h0
9log,9LOG,1,1.0,False,A,A0A1S6XXK1,False,polypeptide(L),321,A0A1S6XXK1,3,G01:A0A1S6XXK1,C06,False,False,False,False,2026-01-28T00:00:00Z,,9log_h0
9loz,9LOZ,1,1.0,False,A,P0DTC2,False,polypeptide(L),194,P0DTC2,12,G09:P0DTC2,C00,False,False,True,False,2026-01-28T00:00:00Z,,9loz_h0
9lp1,9LP1,3,1.0,True,C,P0DTC2,False,polypeptide(L),194,P0DTC2,12,G09:P0DTC2,C00,False,False,True,False,2026-01-28T00:00:00Z,,9loz_h0
9lqw,9LQW,1,0.8969465648854962,False,A;B,P35414,False,polypeptide(L),380,P35414,2,G14:P35414,C26,True,True,False,False,2026-02-04T00:00:00Z,,9lqw_h0
9lr1,9LR1,6,0.96875,True,R,P35414,False,polypeptide(L),380,P35414,2,G14:P35414,C26,False,False,False,False,2026-02-04T00:00:00Z,,9j87_h0
9lsy,9LSY,1,1.0,False,A;D,Q6PJ56,False,polypeptide(L),202,Q6PJ56,1,,-,True,True,False,False,2026-02-18T00:00:00Z,,9lsy_h0
9lsz,9LSZ,1,0.9843205574912892,False,A,Q695T7,False,polypeptide(L),614,Q695T7,1,,-,True,True,False,False,2026-02-18T00:00:00Z,,9lsz_h0
9lwc,9LWC,1,0.7675675675675676,False,A,A0A590UJY2,False,polypeptide(L),244,A0A590UJY2,2,G03:A0A590UJY2,C01,False,False,False,False,2026-02-18T00:00:00Z,,
9lxp,9LXP,1,0.9465875370919882,False,B,P49407,False,polypeptide(L),374,P49407,1,,C13,True,True,False,False,2026-03-04T00:00:00Z,,9lxp_h0
9ly2,9LY2,5,0.8716417910447761,True,R,P30518;Q03431,False,polypeptide(L),507,P30518,3,G13:P30518,C12,True,True,True,False,2026-03-04T00:00:00Z,,9lxp_h0
9ly3,9LY3,5,0.8430769230769231,True,R,P30518;Q03431,False,polypeptide(L),507,P30518,3,G13:P30518,C12,False,False,True,False,2026-03-04T00:00:00Z,,9lxp_h0
9ly5,9LY5,3,0.7906976744186046,True,C,Q5ZPR3,False,polypeptide(L),448,Q5ZPR3,3,G20:Q5ZPR3,C14,False,False,True,False,2026-03-04T00:00:00Z,,9ly5_h0
9ly6,9LY6,1,0.8467153284671532,False,A,Q5ZPR3,False,polypeptide(L),433,Q5ZPR3,3,G20:Q5ZPR3,C14,False,False,True,False,2026-03-04T00:00:00Z,,9ly5_h0
9lz0,9LZ0,1,0.9764705882352941,False,A,P17870,False,polypeptide(L),393,P17870,2,G12:P17870,C13,False,False,True,False,2026-03-18T00:00:00Z,,9lxp_h0
9lz1,9LZ1,5,0.9764705882352941,True,A,P17870,False,polypeptide(L),393,P17870,2,G12:P17870,C13,True,False,True,False,2026-03-11T00:00:00Z,,9lxp_h0
9lz2,9LZ2,5,0.9014598540145985,True,R,P30518;Q03431,False,polypeptide(L),500,P30518,3,G13:P30518,C12,False,False,True,False,2026-03-11T00:00:00Z,,9lxp_h0
9m0j,9M0J,1,0.9596412556053812,False,A,,True,polypeptide(L),361,,1,,C03,True,False,False,False,2026-03-04T00:00:00Z,,21du_h0
9m0x,9M0X,5,0.9598214285714286,True,A,,True,polypeptide(L),247,,1,,C01,True,False,False,False,2026-03-04T00:00:00Z,,21du_h0
9m0z,9M0Z,5,0.9601769911504425,True,A,,True,polypeptide(L),247,,1,,C01,True,False,False,False,2026-03-04T00:00:00Z,,21du_h0
9m1p,9M1P,5,0.9601769911504425,True,A,,True,polypeptide(L),247,,1,,C01,True,False,False,False,2026-03-04T00:00:00Z,,21du_h0
9m2o,9M2O,5,0.9596412556053812,True,A,,True,polypeptide(L),247,,1,,C01,True,False,False,False,2026-03-04T00:00:00Z,,21du_h0
9m2s,9M2S,5,0.9601769911504425,True,A,,True,polypeptide(L),247,,1,,C01,True,False,False,False,2026-03-04T00:00:00Z,,21du_h0
9m3q,9M3Q,5,0.9601769911504425,True,A,,True,polypeptide(L),247,,1,,C01,True,False,False,False,2026-03-11T00:00:00Z,,21du_h0
9m3s,9M3S,4,0.96,True,A,,True,polypeptide(L),247,,1,,C01,True,False,False,False,2026-03-11T00:00:00Z,,21du_h0
9m40,9M40,2,0.9210526315789473,False,A,P63092,False,polypeptide(L),394,P63092,9,G17:P63092,C02,True,True,True,False,2026-03-11T00:00:00Z,,21du_h0
9m72,9M72,1,1.0,False,C;H;I,Q65179,False,polypeptide(L),149,Q65179,1,,-,True,True,False,False,2026-03-18T00:00:00Z,,9m72_h0
9m8k,25ST,1,1.0,False,A,A8MTJ3;P63096,False,polypeptide(L),239,A8MTJ3,1,,-,True,True,True,False,2026-06-24T00:00:00Z,25st,9j87_h0
9m8l,25SU,4,1.0,True,B,P16520,False,polypeptide(L),351,P16520,1,,-,True,True,False,False,2026-07-15T00:00:00Z,25su,9j87_h0
9ma0,9MA0,1,1.0,False,A,P03200,False,polypeptide(L),478,P03200,1,,-,True,True,False,False,2026-03-18T00:00:00Z,,9ma0_h0
9mmj,9MMJ,3,1.0,True,D,P20871,False,polypeptide(L),43,P20871,1,,-,True,True,False,False,2026-01-21T00:00:00Z,,9mmj_h0
9mnb,9MNB,2,0.9571428571428572,True,A,Q15661,False,polypeptide(L),245,Q15661,1,,-,True,True,False,False,2026-04-22T00:00:00Z,,9mnb_h0
9mns,9MNS,3,0.8874172185430463,True,B;E,B9V0E2,False,polypeptide(L),231,B9V0E2,1,,-,True,True,False,False,2026-01-14T00:00:00Z,,9mns_h0
9mnt,9MNT,3,0.94375,True,E,,True,polypeptide(L),189,,1,,C25,True,True,False,False,2026-01-14T00:00:00Z,,9mnt_h0
9mnu,9MNU,1,0.7480916030534351,False,E;e,,True,polypeptide(L),189,,1,,C25,True,False,False,False,2026-01-14T00:00:00Z,,9mnu_h0
9msc,9MSC,5,1.0,True,E,P26664,False,polypeptide(L),262,P26664,1,,-,True,True,False,False,2026-01-14T00:00:00Z,,9msc_h0
9mxu,9MXU,3,0.9196428571428571,False,A,P63092,False,polypeptide(L),394,P63092,9,G17:P63092,C02,False,False,True,False,2026-04-22T00:00:00Z,,21du_h0
9mz6,9MZ6,3,1.0,True,D,D2CJY3,False,polypeptide(L),43,D2CJY3,2,G04:D2CJY3,C24,True,True,True,False,2026-01-21T00:00:00Z,,9mmj_h0
9mz7,9MZ7,3,1.0,True,D,A8DM03,False,polypeptide(L),43,A8DM03,1,,-,True,True,False,False,2026-01-21T00:00:00Z,,9mmj_h0
9mz8,9MZ8,3,1.0,True,D,D2CJY3,False,polypeptide(L),43,D2CJY3,2,G04:D2CJY3,C24,False,False,True,False,2026-01-21T00:00:00Z,,9mmj_h0
9mze,9MZE,1,0.8767123287671232,False,A,P63092,False,polypeptide(L),394,P63092,9,G17:P63092,C02,False,False,True,False,2026-04-22T00:00:00Z,,21du_h0
9mzf,9MZF,6,0.9192825112107623,True,A,P63092,False,polypeptide(L),394,P63092,9,G17:P63092,C02,False,False,True,False,2026-04-22T00:00:00Z,,21du_h0
9n05,9N05,1,0.9174311926605505,False,A,P63092,False,polypeptide(L),394,P63092,9,G17:P63092,C02,False,False,True,False,2026-04-22T00:00:00Z,,21du_h0
9n09,9N09,1,0.9587155963302753,False,A,,True,polypeptide(L),257,,1,,C01,True,True,False,False,2026-01-28T00:00:00Z,,21du_h0
9n0e,9N0E,6,0.9178082191780822,True,A,P63092,False,polypeptide(L),394,P63092,9,G17:P63092,C02,False,False,True,False,2026-04-22T00:00:00Z,,21du_h0
9n1p,9N1P,1,0.9174311926605505,False,A,P63092,False,polypeptide(L),394,P63092,9,G17:P63092,C02,False,False,True,False,2026-04-22T00:00:00Z,,21du_h0
9n1q,9N1Q,1,0.9181818181818182,False,A,P63092,False,polypeptide(L),394,P63092,9,G17:P63092,C02,False,False,True,False,2026-04-22T00:00:00Z,,21du_h0
9n2i,9N2I,2,0.918552036199095,False,A,P63092,False,polypeptide(L),394,P63092,9,G17:P63092,C02,False,False,True,False,2026-04-22T00:00:00Z,,21du_h0
9n38,9N38,1,0.961864406779661,False,A,Q2FFA3,False,polypeptide(L),311,Q2FFA3,1,,-,True,True,False,False,2026-02-04T00:00:00Z,,9n38_h0
9n8i,9N8I,3,1.0,True,E,P68874,False,polypeptide(L),181,P68874,2,G19:P68874,C11,True,False,False,False,2026-02-04T00:00:00Z,,9l9o_h0
9n8n,9N8N,5,1.0,True,I,P68874;Q8I6T1,False,polypeptide(L),324,P68874,2,G19:P68874,C11,False,False,False,False,2026-02-04T00:00:00Z,,9n8i_h0
9ncd,9NCD,4,1.0,True,A,B6CG41,False,polypeptide(L),93,B6CG41,1,,-,True,True,False,False,2026-02-18T00:00:00Z,,9l9o_h0
9ncy,9NCY,3,1.0,True,A,Q7K740,False,polypeptide(L),73,Q7K740,5,G22:Q7K740,C05,False,False,False,False,2026-03-11T00:00:00Z,,9ncy_h0
9nkz,9NKZ,3,1.0,True,A,Q7K740,False,polypeptide(L),24,Q7K740,5,G22:Q7K740,C05,True,True,True,True,2026-03-04T00:00:00Z,,9nkz_h0
9nl0,9NL0,2,1.0,False,A,Q7K740,False,polypeptide(L),12,Q7K740,5,G22:Q7K740,C05,False,False,True,True,2026-03-04T00:00:00Z,,9nkz_h0
9nl1,9NL1,3,1.0,True,A,Q7K740,False,polypeptide(L),14,Q7K740,5,G22:Q7K740,C05,False,False,True,True,2026-03-04T00:00:00Z,,9nkz_h0
9np0,9NP0,1,1.0,False,A,P04083,False,polypeptide(L),351,P04083,1,,-,True,True,False,False,2026-04-01T00:00:00Z,,9np0_h0
9nw4,9NW4,3,1.0,True,C;P,P08677,False,polypeptide(L),18,P08677,1,,-,True,True,False,True,2026-03-25T00:00:00Z,,9nw4_h0
9nw7,9NW7,1,0.9653846153846154,False,A,P13747,False,polypeptide(L),275,P13747,3,G10:P13747,C10,True,True,True,True,2026-03-25T00:00:00Z,,9nw7_h0
9nw8,9NW8,1,0.9653846153846154,False,A,P13747,False,polypeptide(L),275,P13747,3,G10:P13747,C10,False,False,True,True,2026-03-25T00:00:00Z,,9nw7_h0
9nw9,9NW9,1,0.9653846153846154,False,A,P13747,False,polypeptide(L),275,P13747,3,G10:P13747,C10,False,False,True,True,2026-03-25T00:00:00Z,,9nw7_h0
9nzf,9NZF,3,1.0,True,A,Q7K740,False,polypeptide(L),20,Q7K740,5,G22:Q7K740,C05,False,False,True,True,2026-04-08T00:00:00Z,,9nkz_h0
9obn,9OBN,1,1.0,False,A;B;C;D,Q8I6T1,False,polypeptide(L),150,Q8I6T1,1,,C11,True,True,False,False,2026-01-21T00:00:00Z,,9obn_h0
9ppw,9PPW,2,0.8586387434554974,False,B,P63096,False,polypeptide(L),354,P63096,2,G18:P63096,C23,True,True,True,False,2026-03-04T00:00:00Z,,9j87_h0
9ppy,9PPY,2,0.8578947368421053,False,B,P63096,False,polypeptide(L),354,P63096,2,G18:P63096,C23,False,False,True,False,2026-03-04T00:00:00Z,,9j87_h0
9pso,9PSO,1,0.9505494505494505,False,E,P0DTC2,False,polypeptide(L),209,P0DTC2,12,G09:P0DTC2,C00,False,False,False,False,2026-02-25T00:00:00Z,,9pso_h0
9q1l,9Q1L,3,1.0,True,C;F,Q9SEW4,False,polypeptide(L),47,Q9SEW4,1,,-,True,True,False,False,2026-01-21T00:00:00Z,,9q1l_h0
9q6h,9Q6H,1,1.0,False,A,P02768,False,polypeptide(L),585,P02768,4,G06:P02768,C07,True,True,False,False,2026-03-25T00:00:00Z,,9q6h_h0
9q6n,9Q6N,1,1.0,False,A,P02768,False,polypeptide(L),584,P02768,4,G06:P02768,C07,False,False,False,False,2026-03-25T00:00:00Z,,9q6n_h0
9q6y,9Q6Y,1,1.0,False,A,P02768,False,polypeptide(L),585,P02768,4,G06:P02768,C07,False,False,True,False,2026-03-25T00:00:00Z,,9q6y_h0
9q6z,9Q6Z,1,1.0,False,A,P02768,False,polypeptide(L),585,P02768,4,G06:P02768,C07,False,False,True,False,2026-03-25T00:00:00Z,,9q6y_h0
9q7y,9Q7Y,4,0.9854838709677419,True,B,P78536,False,polypeptide(L),671,P78536,1,,-,True,True,False,False,2026-04-01T00:00:00Z,,9q7y_h0
9qqe,9QQE,1,1.0,False,A,U5YJM1,False,polypeptide(L),275,U5YJM1,1,,C22,True,True,False,True,2026-04-15T00:00:00Z,,9qqe_h0
9qqf,9QQF,4,1.0,True,A,A0A5H2UF23,False,polypeptide(L),341,A0A5H2UF23,1,,C22,True,False,False,False,2026-04-15T00:00:00Z,,9qqf_h0
9qrv,9QRV,1,1.0,False,D,A0A2K5X4G5,False,polypeptide(L),113,A0A2K5X4G5,1,,-,True,True,False,False,2026-02-11T00:00:00Z,,9qrv_h0
9rig,9RIG,1,1.0,False,A,A0A2L1GIK5,False,polypeptide(L),297,A0A2L1GIK5,2,G02:A0A2L1GIK5,C21,True,True,False,False,2026-04-29T00:00:00Z,,9rig_h0
9rih,9RIH,1,0.9714285714285714,False,A,A0A2L1GIK5,False,polypeptide(L),297,A0A2L1GIK5,2,G02:A0A2L1GIK5,C21,False,False,False,False,2026-04-29T00:00:00Z,,9rih_h0
9rn6,9RN6,1,0.9528795811518325,False,A,P0DTC2,False,polypeptide(L),241,P0DTC2,12,G09:P0DTC2,C00,False,False,False,False,2026-01-21T00:00:00Z,,9rn6_h0
9rye,9RYE,2,1.0,False,B,Q72J04,False,polypeptide(L),578,Q72J04,2,G21:Q72J04,C20,True,True,True,False,2026-04-08T00:00:00Z,,9rye_h0
9ryf,9RYF,2,1.0,False,B,Q72J04,False,polypeptide(L),578,Q72J04,2,G21:Q72J04,C20,False,False,True,False,2026-04-08T00:00:00Z,,9rye_h0
9sat,9SAT,3,1.0,True,R,P0DTC2,False,polypeptide(L),266,P0DTC2,12,G09:P0DTC2,C00,False,False,False,False,2026-03-18T00:00:00Z,,9sat_h0
9sbb,9SBB,3,1.0,True,R,P0DTC2,False,polypeptide(L),219,P0DTC2,12,G09:P0DTC2,C00,False,False,False,False,2026-03-18T00:00:00Z,,9sbb_h0
9ssm,9SSM,3,0.9560439560439561,True,R,A0A8A5XRG7,False,polypeptide(L),249,A0A8A5XRG7,1,,C00,True,False,False,False,2026-02-18T00:00:00Z,,9ssm_h0
9t3r,9T3R,3,0.9626168224299065,True,A,P04626,False,polypeptide(L),636,P04626,2,G08:P04626,C19,True,True,True,False,2026-03-11T00:00:00Z,,9t3r_h0
9t3s,9T3S,3,0.9626168224299065,True,A,P04626,False,polypeptide(L),636,P04626,2,G08:P04626,C19,False,False,True,False,2026-03-11T00:00:00Z,,9t3r_h0
9th6,9TH6,1,0.8997722095671982,False,A,P0DTD1,False,polypeptide(L),547,P0DTD1,1,,-,True,True,False,False,2026-02-11T00:00:00Z,,9th6_h0
9tmp,9TMP,1,1.0,False,A,P0ABE7,False,polypeptide(L),128,P0ABE7,1,,C15,True,False,False,False,2026-03-25T00:00:00Z,,9l9o_h1
9u5p,9U5P,1,1.0,False,A;O,P03303,False,polypeptide(L),180,P03303,5,G07:P03303,C04,True,True,True,False,2026-03-25T00:00:00Z,,9u5p_h0
9u5q,9U5Q,1,1.0,False,A,P03303,False,polypeptide(L),180,P03303,5,G07:P03303,C04,False,False,True,False,2026-03-25T00:00:00Z,,9u5p_h0
9u5r,9U5R,1,1.0,False,O,P03303,False,polypeptide(L),180,P03303,5,G07:P03303,C04,False,False,True,False,2026-03-25T00:00:00Z,,9u5p_h0
9ua5,9UA5,1,0.9148264984227129,False,C,R9W5Z3,False,polypeptide(L),399,R9W5Z3,1,,-,True,True,False,False,2026-01-07T00:00:00Z,,9ua5_h0
9udq,9UDQ,3,1.0,True,F;I,,True,polypeptide(L),236,,1,,-,True,True,False,False,2026-04-15T00:00:00Z,,9udq_h0
9ue0,9UE0,3,1.0,True,C;D,A0A7H0DND2,False,polypeptide(L),124,A0A7H0DND2,1,,-,True,True,False,False,2026-04-22T00:00:00Z,,9ue0_h0
9ugo,9UGO,3,1.0,True,C;E,B8QJB4,False,polypeptide(L),98,B8QJB4,1,,-,True,True,False,False,2026-02-18T00:00:00Z,,9ugo_h0
9uk2,9UK2,2,0.9227272727272727,False,B,,True,polypeptide(L),246,,1,,C01,True,False,False,False,2026-04-22T00:00:00Z,,9j87_h0
9ull,9ULL,3,1.0,True,J;K,P51679,False,polypeptide(L),11,P51679,2,G16:P51679,C18,True,True,False,True,2026-04-22T00:00:00Z,,9ull_h0
9ulm,9ULM,4,1.0,True,X;Y,P51679,False,polypeptide(L),28,P51679,2,G16:P51679,C18,False,False,False,False,2026-04-22T00:00:00Z,,9l9o_h0
9ulp,9ULP,1,1.0,False,A;B,A0A5S4TPK8,False,polypeptide(L),283,A0A5S4TPK8,1,,-,True,True,False,False,2026-03-25T00:00:00Z,,9ulp_h0
9uo0,9UO0,1,1.0,False,M,A0A0A7E6A4,False,polypeptide(L),214,A0A0A7E6A4,1,,C09,True,True,False,False,2026-04-29T00:00:00Z,,9uo0_h0
9uoc,9UOC,1,0.9543147208121827,False,B;C;E;G,A0A0B5KY46,False,polypeptide(L),208,A0A0B5KY46,2,G00:A0A0B5KY46,C09,True,False,False,False,2026-04-29T00:00:00Z,,9uoc_h0
9uoi,9UOI,3,0.9595959595959596,True,B,A0A0B5KY46,False,polypeptide(L),208,A0A0B5KY46,2,G00:A0A0B5KY46,C09,False,False,False,False,2026-04-29T00:00:00Z,,9uoi_h0
9v0x,9V0X,1,0.9590909090909091,False,A,,True,polypeptide(L),361,,1,,C03,True,True,False,False,2026-02-04T00:00:00Z,,9j87_h0
9v1h,9V1H,1,0.8291457286432161,False,A,,True,polypeptide(L),361,,1,,C03,True,False,False,False,2026-02-04T00:00:00Z,,9j87_h0
9ve0,9VE0,3,0.9703947368421053,True,A,W5VWE0,False,polypeptide(L),338,W5VWE0,1,,C06,True,True,False,False,2026-01-07T00:00:00Z,,9ve0_h0
9vmn,9VMN,1,0.96,False,A,,True,polypeptide(L),356,,1,,C03,True,False,False,False,2026-03-18T00:00:00Z,,9j87_h0
9vmo,9VMO,1,0.96,False,A,,True,polypeptide(L),356,,1,,C03,True,False,False,False,2026-03-18T00:00:00Z,,9j87_h0
9vnp,9VNP,1,1.0,False,L,P01579,False,polypeptide(L),192,P01579,1,,-,True,True,False,False,2026-01-28T00:00:00Z,,9vnp_h0
9vo2,9VO2,1,0.96,False,A,,True,polypeptide(L),370,,1,,C03,True,False,False,False,2026-03-18T00:00:00Z,,9j87_h0
9w14,9W14,1,0.9887005649717514,False,G,P0DTC2,False,polypeptide(L),223,P0DTC2,12,G09:P0DTC2,C00,False,False,False,False,2026-03-18T00:00:00Z,,9kwy_h0
9wb3,9WB3,1,1.0,False,A,P03303,False,polypeptide(L),180,P03303,5,G07:P03303,C04,False,False,True,False,2026-03-25T00:00:00Z,,9u5p_h0
9wb4,9WB4,1,1.0,False,A,P03303,False,polypeptide(L),180,P03303,5,G07:P03303,C04,False,False,True,False,2026-03-25T00:00:00Z,,9u5p_h0
9wpm,9WPM,4,1.0,True,B,P62873,False,polypeptide(L),345,P62873,1,,-,True,True,False,False,2026-01-28T00:00:00Z,,21du_h0
9wwh,9WWH,3,0.859504132231405,True,C;D,O95760,False,polypeptide(L),152,O95760,3,G05:O95760,C08,True,True,True,False,2026-03-18T00:00:00Z,,9wwh_h0
9x05,9X05,4,0.9343065693430657,False,A,O95760,False,polypeptide(L),158,O95760,3,G05:O95760,C08,False,False,True,False,2026-03-18T00:00:00Z,,9wwh_h0
9x0j,9X0J,1,0.9361702127659575,False,A,O95760,False,polypeptide(L),158,O95760,3,G05:O95760,C08,False,False,True,False,2026-03-18T00:00:00Z,,9wwh_h0
9x3z,9X3Z,2,0.8291457286432161,False,A,A0A5A9NRD5,False,polypeptide(L),361,A0A5A9NRD5,1,,C03,True,False,False,False,2026-04-15T00:00:00Z,,9j87_h0
9xqb,9XQB,2,0.8732394366197183,True,C,P29274,False,polypeptide(L),431,P29274,1,,C15,True,True,False,False,2026-01-07T00:00:00Z,,9xqb_h0
9xqc,9XQC,1,0.9598214285714286,False,A,,True,polypeptide(L),361,,1,,C03,True,False,False,False,2026-02-04T00:00:00Z,,9j87_h0
9xqn,9XQN,1,0.7837078651685393,False,A,O95800,False,polypeptide(L),422,O95800,1,,-,True,True,False,False,2026-02-04T00:00:00Z,,9l9o_h1
9xsx,9XSX,1,1.0,False,A,,True,polypeptide(L),240,,1,,C16,True,False,False,False,2026-02-18T00:00:00Z,,9l8z_h0
9xth,9XTH,2,1.0,True,A,,True,polypeptide(L),240,,1,,C16,True,False,False,False,2026-02-18T00:00:00Z,,9jno_h0
9y0a,9Y0A,1,1.0,False,C,P15494,False,polypeptide(L),160,P15494,2,G11:P15494,C17,True,True,True,False,2026-02-11T00:00:00Z,,9y0a_h0
9y0e,9Y0E,1,1.0,False,C,P15494,False,polypeptide(L),160,P15494,2,G11:P15494,C17,False,False,True,False,2026-02-11T00:00:00Z,,9y0a_h0
